Population	Locus	Probability_of_Exclusion(PE)	Probability_of_Inclusion(PI)	Adjusted_PE²	Adjusted_PI²	Adjusted_PE³	Adjusted_PI³
AMR	D7S820	9.99861591695501730104E-1	1.38408304498269896194E-4	9.63351248776364053871E-1	3.66487512236359461292E-2	9.63351248776364053871E-1	3.66487512236359461292E-2
AMR	D8S1179	9.99861591695501730104E-1	1.38408304498269896194E-4	9.63351248776364053871E-1	3.66487512236359461292E-2	9.63351248776364053871E-1	3.66487512236359461292E-2
AMR	FGA	9.99861591695501730104E-1	1.38408304498269896194E-4	9.95927916530707117097E-1	4.07208346929288290324E-3	9.95927916530707117097E-1	4.07208346929288290324E-3
AMR	TH01	9.99459167117360735533E-1	5.40832882639264467280E-4	9.64176280801408889675E-1	3.58237191985911103253E-2	9.64176280801408889675E-1	3.58237191985911103253E-2
AMR	TPOX	9.99459167117360735533E-1	5.40832882639264467280E-4	9.64176280801408889675E-1	3.58237191985911103253E-2	9.64176280801408889675E-1	3.58237191985911103253E-2
AMR	vWA	9.99861591695501730104E-1	1.38408304498269896194E-4	9.63627303065891887267E-1	3.63726969341081127334E-2	9.63627303065891887267E-1	3.63726969341081127334E-2
AMR	All_loci	1.00000000000000000000E+0	1.91414783559081466827E-32	1.00000000000000000000E+0	1.66919575397394482773E-33	1.00000000000000000000E+0	1.66919575397394482773E-33
EAS	CSF1PO	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93953222626519298631E-1	6.04677737348070136867E-3	9.93953222626519298631E-1	6.04677737348070136867E-3
EAS	D10S1248	9.99801626661376710970E-1	1.98373338623289029954E-4	9.94036730402789400783E-1	5.96326959721059921729E-3	9.94036730402789400783E-1	5.96326959721059921729E-3
EAS	D12S391	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93995049095896154819E-1	6.00495090410384518054E-3	9.93995049095896154819E-1	6.00495090410384518054E-3
EAS	D13S317	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93953222626519298631E-1	6.04677737348070136867E-3	9.93953222626519298631E-1	6.04677737348070136867E-3
EAS	D16S539	9.99801626661376710970E-1	1.98373338623289029954E-4	9.86582643406276151761E-1	1.34173565937238482389E-2	9.86582643406276151761E-1	1.34173565937238482389E-2
EAS	D18S51	9.99949700719279714300E-1	5.02992807202856999145E-5	9.86394750909668421920E-1	1.36052490903315780795E-2	9.86394750909668421920E-1	1.36052490903315780795E-2
EAS	D19S433	9.99801626661376710970E-1	1.98373338623289029954E-4	9.76146921611157603131E-1	2.38530783888423968692E-2	9.76146921611157603131E-1	2.38530783888423968692E-2
EAS	D1S1656	9.99949700719279714300E-1	5.02992807202856999145E-5	9.98488305656629824658E-1	1.51169434337017534217E-3	9.98488305656629824658E-1	1.51169434337017534217E-3
EAS	D21S11	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93953222626519298631E-1	6.04677737348070136867E-3	9.93953222626519298631E-1	6.04677737348070136867E-3
EAS	D22S1045	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93953222626519298631E-1	6.04677737348070136867E-3	9.93953222626519298631E-1	6.04677737348070136867E-3
EAS	D2S1338	9.99801626661376710970E-1	1.98373338623289029954E-4	9.76146921611157603131E-1	2.38530783888423968692E-2	9.76146921611157603131E-1	2.38530783888423968692E-2
EAS	D2S441	9.99801626661376710970E-1	1.98373338623289029954E-4	9.76146921611157603131E-1	2.38530783888423968692E-2	9.76146921611157603131E-1	2.38530783888423968692E-2
EAS	D3S1358	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93995049095896154819E-1	6.00495090410384518054E-3	9.93995049095896154819E-1	6.00495090410384518054E-3
EAS	D5S818	9.99949700719279714300E-1	5.02992807202856999145E-5	9.93953222626519298631E-1	6.04677737348070136867E-3	9.93953222626519298631E-1	6.04677737348070136867E-3
EAS	D7S820	9.99949700719279714300E-1	5.02992807202856999145E-5	9.86394750909668421920E-1	1.36052490903315780795E-2	9.86394750909668421920E-1	1.36052490903315780795E-2
EAS	D8S1179	9.99949700719279714300E-1	5.02992807202856999145E-5	9.86394750909668421920E-1	1.36052490903315780795E-2	9.86394750909668421920E-1	1.36052490903315780795E-2
EAS	FGA	9.99949700719279714300E-1	5.02992807202856999145E-5	9.98488305656629824658E-1	1.51169434337017534217E-3	9.98488305656629824658E-1	1.51169434337017534217E-3
EAS	TH01	9.99801626661376710970E-1	1.98373338623289029954E-4	9.86582643406276151761E-1	1.34173565937238482389E-2	9.86582643406276151761E-1	1.34173565937238482389E-2
EAS	TPOX	9.99801626661376710970E-1	1.98373338623289029954E-4	9.86582643406276151761E-1	1.34173565937238482389E-2	9.86582643406276151761E-1	1.34173565937238482389E-2
EAS	vWA	9.99949700719279714300E-1	5.02992807202856999145E-5	9.86457526904354608759E-1	1.35424730956453912411E-2	9.86457526904354608759E-1	1.35424730956453912411E-2
EAS	All_loci	1.00000000000000000000E+0	2.99142402533300454542E-36	1.00000000000000000000E+0	4.44122632282461665785E-42	1.00000000000000000000E+0	4.44122632282461665785E-42
EUR	CSF1PO	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90327899608220984974E-1	9.67210039177901502639E-3	9.90327899608220984974E-1	9.67210039177901502639E-3
EUR	D10S1248	9.99681122448979591837E-1	3.18877551020408163265E-4	9.90496360975944231222E-1	9.50363902405576877837E-3	9.90496360975944231222E-1	9.50363902405576877837E-3
EUR	D12S391	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90412315290033584250E-1	9.58768470996641574981E-3	9.90412315290033584250E-1	9.58768470996641574981E-3
EUR	D13S317	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90327899608220984974E-1	9.67210039177901502639E-3	9.90327899608220984974E-1	9.67210039177901502639E-3
EUR	D16S539	9.99681122448979591837E-1	3.18877551020408163265E-4	9.78616812195874520249E-1	2.13831878041254797513E-2	9.78616812195874520249E-1	2.13831878041254797513E-2
EUR	D18S51	9.99918837756675594513E-1	8.11622433244054865676E-5	9.78237774118497216191E-1	2.17622258815027838094E-2	9.78237774118497216191E-1	2.17622258815027838094E-2
EUR	D19S433	9.99681122448979591837E-1	3.18877551020408163265E-4	9.61985443903776924887E-1	3.80145560962230751135E-2	9.61985443903776924887E-1	3.80145560962230751135E-2
EUR	D1S1656	9.99918837756675594513E-1	8.11622433244054865676E-5	9.97581974902055246243E-1	2.41802509794475375660E-3	9.97581974902055246243E-1	2.41802509794475375660E-3
EUR	D21S11	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90327899608220984974E-1	9.67210039177901502639E-3	9.90327899608220984974E-1	9.67210039177901502639E-3
EUR	D22S1045	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90327899608220984974E-1	9.67210039177901502639E-3	9.90327899608220984974E-1	9.67210039177901502639E-3
EUR	D2S1338	9.99681122448979591837E-1	3.18877551020408163265E-4	9.61985443903776924887E-1	3.80145560962230751135E-2	9.61985443903776924887E-1	3.80145560962230751135E-2
EUR	D2S441	9.99681122448979591837E-1	3.18877551020408163265E-4	9.61985443903776924887E-1	3.80145560962230751135E-2	9.61985443903776924887E-1	3.80145560962230751135E-2
